index,tier,success,metric_success_rate,metric_score,metric_reward,status,raw_trace,source
0,cf0,0,0.0,0.0,0.0,completed,0-0-284-1777808096/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
1,cf0,0,0.0,0.0,0.0,completed,1-0-190-1777806557/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
2,cf0,1,1.0,1.0,1.0,completed,2-0-209-1777806850/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
3,cf0,1,1.0,1.0,1.0,completed,3-0-265-1777807765/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
4,cf0,1,1.0,1.0,1.0,completed,4-0-241-1777807404/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
5,cf0,1,1.0,1.0,1.0,completed,5-0-204-1777806724/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
6,cf0,1,1.0,1.0,1.0,completed,6-0-188-1777806542/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
7,cf0,1,1.0,1.0,1.0,completed,7-0-245-1777807472/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
8,cf0,1,1.0,1.0,1.0,completed,8-0-301-1777808477/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
9,cf0,1,1.0,1.0,1.0,completed,9-0-164-1777806239/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
10,cf0,1,1.0,1.0,1.0,completed,10-0-220-1777807039/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
11,cf0,1,1.0,1.0,1.0,completed,11-0-304-1777808511/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
12,cf0,0,0.0,0.0,0.0,completed,12-0-295-1777808320/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
13,cf0,1,1.0,1.0,1.0,completed,13-0-202-1777806665/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
14,cf0,1,1.0,1.0,1.0,completed,14-0-224-1777807098/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
15,cf0,0,0.0,0.0,0.0,completed,15-0-231-1777807192/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
16,cf0,1,1.0,1.0,1.0,completed,16-0-166-1777806259/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
17,cf0,1,1.0,1.0,1.0,completed,17-0-171-1777806275/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
18,cf0,0,0.0,0.0,0.0,completed,18-0-183-1777806444/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
19,cf0,1,1.0,1.0,1.0,completed,19-0-275-1777807893/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
20,cf0,1,1.0,1.0,1.0,completed,20-0-269-1777807815/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
21,cf0,1,1.0,1.0,1.0,completed,21-0-244-1777807474/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
22,cf0,0,0.0,0.0,0.0,completed,22-0-178-1777806382/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
23,cf0,1,1.0,1.0,1.0,completed,23-0-169-1777806269/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
24,cf0,1,1.0,1.0,1.0,completed,24-0-196-1777806624/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
25,cf0,0,0.0,0.0,0.0,completed,25-0-277-1777807925/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
26,cf0,0,0.0,0.0,0.0,completed,26-0-198-1777806639/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
27,cf0,1,1.0,1.0,1.0,completed,27-0-292-1777808305/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
28,cf0,1,1.0,1.0,1.0,completed,28-0-197-1777806636/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
29,cf0,1,1.0,1.0,1.0,completed,29-0-194-1777806602/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
30,cf0,1,1.0,1.0,1.0,completed,30-0-175-1777806329/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
31,cf0,1,1.0,1.0,1.0,completed,31-0-253-1777807564/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
32,cf0,1,1.0,1.0,1.0,completed,32-0-266-1777807786/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
33,cf0,1,1.0,1.0,1.0,completed,33-0-273-1777807846/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
34,cf0,1,1.0,1.0,1.0,completed,34-0-230-1777807175/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
35,cf0,1,1.0,1.0,1.0,completed,35-0-302-1777808485/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
36,cf0,1,1.0,1.0,1.0,completed,36-0-285-1777808200/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
37,cf0,1,1.0,1.0,1.0,completed,37-0-228-1777807214/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
38,cf0,1,1.0,1.0,1.0,completed,38-0-239-1777807390/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
39,cf0,1,1.0,1.0,1.0,completed,39-0-161-1777806181/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
40,cf0,0,0.0,0.0,0.0,completed,40-0-252-1777807549/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
41,cf0,1,1.0,1.0,1.0,completed,41-0-299-1777808384/trace.json,results/debug_horizon_monitor/gpt-5-mini-os-horizon-all-monitor-replan-202605030602/results.jsonl
