timestamp	model	task	range	status	output_dir
2026-05-04 02:41:29	google/gemini-3-flash-preview	os-std	0-23	OK	results/gemini/gemini3_flash_os_std
2026-05-04 02:46:25	google/gemini-3-flash-preview	os-std	24-47	OK	results/gemini/gemini3_flash_os_std
2026-05-04 02:57:19	google/gemini-3-flash-preview	os-std	48-71	OK	results/gemini/gemini3_flash_os_std
2026-05-04 03:03:09	google/gemini-3-flash-preview	os-std	72-95	OK	results/gemini/gemini3_flash_os_std
2026-05-04 03:17:53	google/gemini-3-flash-preview	os-std	96-119	OK	results/gemini/gemini3_flash_os_std
2026-05-04 03:21:46	google/gemini-3-flash-preview	os-std	120-143	OK	results/gemini/gemini3_flash_os_std
2026-05-04 03:25:57	google/gemini-3-flash-preview	os-std-monitor-replan	0-23	OK	results/gemini/gemini3_flash_os_std_monitor
2026-05-04 03:31:26	google/gemini-3-flash-preview	os-std-monitor-replan	24-47	OK	results/gemini/gemini3_flash_os_std_monitor
2026-05-04 03:38:36	google/gemini-3-flash-preview	os-std-monitor-replan	48-71	OK	results/gemini/gemini3_flash_os_std_monitor
2026-05-04 03:53:15	google/gemini-3-flash-preview	os-std-monitor-replan	72-95	OK	results/gemini/gemini3_flash_os_std_monitor
2026-05-04 03:58:00	google/gemini-3-flash-preview	os-std-monitor-replan	96-119	OK	results/gemini/gemini3_flash_os_std_monitor
2026-05-04 04:04:44	google/gemini-3-flash-preview	os-std-monitor-replan	120-143	OK	results/gemini/gemini3_flash_os_std_monitor
2026-05-04 04:15:59	google/gemini-3-flash-preview	os-horizon-all	0-23	OK	results/gemini/gemini3_flash_horizon_baseline
2026-05-04 04:22:43	google/gemini-3-flash-preview	os-horizon-all	24-47	OK	results/gemini/gemini3_flash_horizon_baseline
2026-05-04 04:39:10	google/gemini-3-flash-preview	os-horizon-all	48-71	OK	results/gemini/gemini3_flash_horizon_baseline
2026-05-04 04:58:39	google/gemini-3-flash-preview	os-horizon-all	72-95	OK	results/gemini/gemini3_flash_horizon_baseline
2026-05-04 05:10:13	google/gemini-3-flash-preview	os-horizon-all	96-120	OK	results/gemini/gemini3_flash_horizon_baseline
2026-05-04 05:21:53	google/gemini-3-flash-preview	os-horizon-all	121-145	OK	results/gemini/gemini3_flash_horizon_baseline
2026-05-04 05:30:57	google/gemini-3-flash-preview	os-horizon-all-monitor-replan	0-23	OK	results/gemini/gemini3_flash_horizon_monitor
2026-05-04 05:38:21	google/gemini-3-flash-preview	os-horizon-all-monitor-replan	24-47	OK	results/gemini/gemini3_flash_horizon_monitor
2026-05-04 05:47:25	google/gemini-3-flash-preview	os-horizon-all-monitor-replan	48-71	OK	results/gemini/gemini3_flash_horizon_monitor
2026-05-04 05:57:28	google/gemini-3-flash-preview	os-horizon-all-monitor-replan	72-95	OK	results/gemini/gemini3_flash_horizon_monitor
2026-05-04 06:09:13	google/gemini-3-flash-preview	os-horizon-all-monitor-replan	96-120	OK	results/gemini/gemini3_flash_horizon_monitor
2026-05-04 06:28:50	google/gemini-3-flash-preview	os-horizon-all-monitor-replan	121-145	OK	results/gemini/gemini3_flash_horizon_monitor
2026-05-04 06:32:13	google/gemini-3.1-pro-preview	os-std	0-23	OK	results/gemini/gemini31_pro_os_std
2026-05-04 06:36:03	google/gemini-3.1-pro-preview	os-std	24-47	OK	results/gemini/gemini31_pro_os_std
2026-05-04 06:40:59	google/gemini-3.1-pro-preview	os-std	48-71	OK	results/gemini/gemini31_pro_os_std
2026-05-04 06:45:41	google/gemini-3.1-pro-preview	os-std	72-95	OK	results/gemini/gemini31_pro_os_std
2026-05-04 06:49:22	google/gemini-3.1-pro-preview	os-std	96-119	OK	results/gemini/gemini31_pro_os_std
2026-05-04 06:53:24	google/gemini-3.1-pro-preview	os-std	120-143	OK	results/gemini/gemini31_pro_os_std
2026-05-04 06:57:38	google/gemini-3.1-pro-preview	os-std-monitor-replan	0-23	OK	results/gemini/gemini31_pro_os_std_monitor
2026-05-04 07:03:06	google/gemini-3.1-pro-preview	os-std-monitor-replan	24-47	OK	results/gemini/gemini31_pro_os_std_monitor
2026-05-04 07:11:29	google/gemini-3.1-pro-preview	os-std-monitor-replan	48-71	OK	results/gemini/gemini31_pro_os_std_monitor
2026-05-04 07:18:14	google/gemini-3.1-pro-preview	os-std-monitor-replan	72-95	OK	results/gemini/gemini31_pro_os_std_monitor
2026-05-04 07:23:38	google/gemini-3.1-pro-preview	os-std-monitor-replan	96-119	OK	results/gemini/gemini31_pro_os_std_monitor
2026-05-04 07:29:16	google/gemini-3.1-pro-preview	os-std-monitor-replan	120-143	OK	results/gemini/gemini31_pro_os_std_monitor
2026-05-04 07:33:10	google/gemini-3.1-pro-preview	os-horizon-all	0-23	OK	results/gemini/gemini31_pro_horizon_baseline
2026-05-04 07:37:37	google/gemini-3.1-pro-preview	os-horizon-all	24-47	OK	results/gemini/gemini31_pro_horizon_baseline
2026-05-04 07:48:57	google/gemini-3.1-pro-preview	os-horizon-all	48-71	OK	results/gemini/gemini31_pro_horizon_baseline
2026-05-04 08:01:36	google/gemini-3.1-pro-preview	os-horizon-all	72-95	OK	results/gemini/gemini31_pro_horizon_baseline
2026-05-04 08:26:21	google/gemini-3.1-pro-preview	os-horizon-all	96-120	OK	results/gemini/gemini31_pro_horizon_baseline
2026-05-04 08:34:07	google/gemini-3.1-pro-preview	os-horizon-all	121-145	OK	results/gemini/gemini31_pro_horizon_baseline
2026-05-04 08:40:45	google/gemini-3.1-pro-preview	os-horizon-all-monitor-replan	0-23	OK	results/gemini/gemini31_pro_horizon_monitor
2026-05-04 08:44:49	google/gemini-3.1-pro-preview	os-horizon-all-monitor-replan	24-47	OK	results/gemini/gemini31_pro_horizon_monitor
2026-05-04 08:52:14	google/gemini-3.1-pro-preview	os-horizon-all-monitor-replan	48-71	OK	results/gemini/gemini31_pro_horizon_monitor
2026-05-04 09:03:34	google/gemini-3.1-pro-preview	os-horizon-all-monitor-replan	72-95	OK	results/gemini/gemini31_pro_horizon_monitor
2026-05-04 09:15:33	google/gemini-3.1-pro-preview	os-horizon-all-monitor-replan	96-120	OK	results/gemini/gemini31_pro_horizon_monitor
2026-05-04 09:30:56	google/gemini-3.1-pro-preview	os-horizon-all-monitor-replan	121-145	OK	results/gemini/gemini31_pro_horizon_monitor
