session_id,status,metric_reward,raw_trace,horizon_bucket,ts_start,ts_end,task,index_value
168,completed,1.0,45-0-168-1772524547/trace.json,SUCCESS,2026-03-03T07:55:29.184+00:00,2026-03-03T07:55:47.876+00:00,os-std,45
167,completed,0.0,49-0-167-1772524555/trace.json,UNDETECTED_CHANGE,2026-03-03T07:55:29.183+00:00,2026-03-03T07:55:55.753+00:00,os-std,49
165,completed,0.0,54-0-165-1772524562/trace.json,PLANNING_ERROR,2026-03-03T07:55:29.183+00:00,2026-03-03T07:56:02.917+00:00,os-std,54
164,completed,1.0,104-0-164-1772524563/trace.json,SUCCESS,2026-03-03T07:55:29.183+00:00,2026-03-03T07:56:03.013+00:00,os-std,104
169,completed,1.0,23-0-169-1772524576/trace.json,SUCCESS,2026-03-03T07:55:47.916+00:00,2026-03-03T07:56:16.956+00:00,os-std,23
166,completed,0.0,0-0-166-1772524578/trace.json,FALSE_ASSUMPTIONS,2026-03-03T07:55:29.183+00:00,2026-03-03T07:56:18.777+00:00,os-std,0
172,completed,1.0,92-0-172-1772524581/trace.json,SUCCESS,2026-03-03T07:56:03.065+00:00,2026-03-03T07:56:21.304+00:00,os-std,92
174,completed,0.0,86-0-174-1772524589/trace.json,ILL_DEFINED_INSTR,2026-03-03T07:56:18.790+00:00,2026-03-03T07:56:29.290+00:00,os-std,86
171,completed,1.0,16-0-171-1772524598/trace.json,SUCCESS,2026-03-03T07:56:02.935+00:00,2026-03-03T07:56:38.717+00:00,os-std,16
170,completed,0.0,30-0-170-1772524614/trace.json,UNDETECTED_CHANGE,2026-03-03T07:55:55.764+00:00,2026-03-03T07:56:54.561+00:00,os-std,30
175,completed,0.0,80-0-175-1772524618/trace.json,PLANNING_ERROR,2026-03-03T07:56:21.328+00:00,2026-03-03T07:56:58.712+00:00,os-std,80
176,completed,0.0,98-0-176-1772524623/trace.json,UNDETECTED_CHANGE,2026-03-03T07:56:29.307+00:00,2026-03-03T07:57:03.598+00:00,os-std,98
177,completed,1.0,96-0-177-1772524637/trace.json,SUCCESS,2026-03-03T07:56:38.731+00:00,2026-03-03T07:57:17.067+00:00,os-std,96
173,completed,0.0,90-0-173-1772524645/trace.json,UNDETECTED_CHANGE,2026-03-03T07:56:16.975+00:00,2026-03-03T07:57:25.252+00:00,os-std,90
180,completed,1.0,141-0-180-1772524648/trace.json,SUCCESS,2026-03-03T07:57:03.614+00:00,2026-03-03T07:57:28.753+00:00,os-std,141
178,completed,0.0,68-0-178-1772524649/trace.json,PARTIAL_UNDERSTANDING,2026-03-03T07:56:54.586+00:00,2026-03-03T07:57:29.413+00:00,os-std,68
179,completed,0.0,139-0-179-1772524663/trace.json,PLANNING_ERROR,2026-03-03T07:56:58.730+00:00,2026-03-03T07:57:43.061+00:00,os-std,139
184,completed,0.0,28-0-184-1772524685/trace.json,PARTIAL_UNDERSTANDING,2026-03-03T07:57:29.426+00:00,2026-03-03T07:58:05.114+00:00,os-std,28
183,completed,0.0,99-0-183-1772524696/trace.json,UNDETECTED_CHANGE,2026-03-03T07:57:28.800+00:00,2026-03-03T07:58:16.524+00:00,os-std,99
181,completed,0.0,67-0-181-1772524700/trace.json,UNDETECTED_CHANGE,2026-03-03T07:57:17.087+00:00,2026-03-03T07:58:20.360+00:00,os-std,67
