session_id,status,metric_reward,raw_trace,horizon_bucket,ts_start,ts_end,task,index_value
10,completed,0.0,120-0-10-1775540486/trace.json,PLANNING_ERROR,2026-04-07T05:41:06.520+00:00,2026-04-07T05:41:26.757+00:00,os-std-monitor-replan,120
11,completed,1.0,13-0-11-1775540488/trace.json,SUCCESS,2026-04-07T05:41:06.519+00:00,2026-04-07T05:41:28.784+00:00,os-std-monitor-replan,13
12,completed,1.0,24-0-12-1775540507/trace.json,SUCCESS,2026-04-07T05:41:26.781+00:00,2026-04-07T05:41:47.303+00:00,os-std-monitor-replan,24
9,completed,0.0,56-0-9-1775540509/trace.json,PARTIAL_UNDERSTANDING,2026-04-07T05:41:06.519+00:00,2026-04-07T05:41:49.046+00:00,os-std-monitor-replan,56
13,completed,1.0,111-0-13-1775540514/trace.json,SUCCESS,2026-04-07T05:41:28.798+00:00,2026-04-07T05:41:54.946+00:00,os-std-monitor-replan,111
8,completed,0.0,131-0-8-1775540533/trace.json,FALSE_ASSUMPTIONS,2026-04-07T05:41:06.519+00:00,2026-04-07T05:42:13.353+00:00,os-std-monitor-replan,131
15,completed,1.0,141-0-15-1775540535/trace.json,SUCCESS,2026-04-07T05:41:49.060+00:00,2026-04-07T05:42:15.961+00:00,os-std-monitor-replan,141
14,completed,0.0,133-0-14-1775540543/trace.json,PARTIAL_UNDERSTANDING,2026-04-07T05:41:47.322+00:00,2026-04-07T05:42:23.984+00:00,os-std-monitor-replan,133
16,completed,1.0,142-0-16-1775540548/trace.json,SUCCESS,2026-04-07T05:41:54.961+00:00,2026-04-07T05:42:28.123+00:00,os-std-monitor-replan,142
17,completed,1.0,101-0-17-1775540557/trace.json,SUCCESS,2026-04-07T05:42:13.375+00:00,2026-04-07T05:42:37.664+00:00,os-std-monitor-replan,101
18,completed,0.0,134-0-18-1775540565/trace.json,PLANNING_ERROR,2026-04-07T05:42:16.020+00:00,2026-04-07T05:42:45.926+00:00,os-std-monitor-replan,134
21,completed,0.0,71-0-21-1775540582/trace.json,PARTIAL_UNDERSTANDING,2026-04-07T05:42:37.683+00:00,2026-04-07T05:43:02.055+00:00,os-std-monitor-replan,71
20,completed,1.0,116-0-20-1775540584/trace.json,SUCCESS,2026-04-07T05:42:28.138+00:00,2026-04-07T05:43:04.757+00:00,os-std-monitor-replan,116
24,completed,0.0,29-0-24-1775540604/trace.json,SYSTEM_ERROR,2026-04-07T05:43:04.830+00:00,2026-04-07T05:43:24.309+00:00,os-std-monitor-replan,29
23,completed,1.0,32-0-23-1775540609/trace.json,SUCCESS,2026-04-07T05:43:02.107+00:00,2026-04-07T05:43:29.245+00:00,os-std-monitor-replan,32
19,completed,1.0,94-0-19-1775540617/trace.json,SUCCESS,2026-04-07T05:42:24+00:00,2026-04-07T05:43:37.928+00:00,os-std-monitor-replan,94
7,completed,1.0,97-0-7-1775540637/trace.json,SUCCESS,2026-04-07T05:41:06.518+00:00,2026-04-07T05:43:57.255+00:00,os-std-monitor-replan,97
22,completed,0.0,11-0-22-1775540639/trace.json,PLANNING_ERROR,2026-04-07T05:42:45.942+00:00,2026-04-07T05:43:58.998+00:00,os-std-monitor-replan,11
25,completed,0.0,98-0-25-1775540639/trace.json,PLANNING_ERROR,2026-04-07T05:43:24.326+00:00,2026-04-07T05:43:59.135+00:00,os-std-monitor-replan,98
26,completed,0.0,68-0-26-1775540641/trace.json,PLANNING_ERROR,2026-04-07T05:43:29.259+00:00,2026-04-07T05:44:01.057+00:00,os-std-monitor-replan,68
27,completed,0.0,72-0-27-1775540645/trace.json,PLANNING_ERROR,2026-04-07T05:43:37.948+00:00,2026-04-07T05:44:05.013+00:00,os-std-monitor-replan,72
30,completed,1.0,135-0-30-1775540659/trace.json,SUCCESS,2026-04-07T05:43:59.185+00:00,2026-04-07T05:44:19.403+00:00,os-std-monitor-replan,135
28,completed,1.0,96-0-28-1775540662/trace.json,SUCCESS,2026-04-07T05:43:57.310+00:00,2026-04-07T05:44:22.909+00:00,os-std-monitor-replan,96
32,completed,1.0,66-0-32-1775540682/trace.json,SUCCESS,2026-04-07T05:44:05.033+00:00,2026-04-07T05:44:42.225+00:00,os-std-monitor-replan,66
34,completed,0.0,99-0-34-1775540691/trace.json,PLANNING_ERROR,2026-04-07T05:44:22.933+00:00,2026-04-07T05:44:51.149+00:00,os-std-monitor-replan,99
29,completed,0.0,67-0-29-1775540697/trace.json,PLANNING_ERROR,2026-04-07T05:43:59.047+00:00,2026-04-07T05:44:57.735+00:00,os-std-monitor-replan,67
35,completed,0.0,5-0-35-1775540702/trace.json,PARTIAL_UNDERSTANDING,2026-04-07T05:44:42.239+00:00,2026-04-07T05:45:02.630+00:00,os-std-monitor-replan,5
33,completed,0.0,48-0-33-1775540709/trace.json,PLANNING_ERROR,2026-04-07T05:44:19.419+00:00,2026-04-07T05:45:09.853+00:00,os-std-monitor-replan,48
37,completed,0.0,36-0-37-1775540723/trace.json,PLANNING_ERROR,2026-04-07T05:44:57.755+00:00,2026-04-07T05:45:23.844+00:00,os-std-monitor-replan,36
39,completed,1.0,129-0-39-1775540725/trace.json,SUCCESS,2026-04-07T05:45:09.874+00:00,2026-04-07T05:45:25.528+00:00,os-std-monitor-replan,129
38,completed,0.0,7-0-38-1775540732/trace.json,PARTIAL_UNDERSTANDING,2026-04-07T05:45:02.643+00:00,2026-04-07T05:45:32.405+00:00,os-std-monitor-replan,7
36,completed,1.0,126-0-36-1775540741/trace.json,SUCCESS,2026-04-07T05:44:51.164+00:00,2026-04-07T05:45:41.164+00:00,os-std-monitor-replan,126
42,completed,1.0,124-0-42-1775540748/trace.json,SUCCESS,2026-04-07T05:45:32.420+00:00,2026-04-07T05:45:48.074+00:00,os-std-monitor-replan,124
43,completed,1.0,10-0-43-1775540771/trace.json,SUCCESS,2026-04-07T05:45:41.197+00:00,2026-04-07T05:46:11.171+00:00,os-std-monitor-replan,10
31,completed,0.0,100-0-31-1775540789/trace.json,FALSE_ASSUMPTIONS,2026-04-07T05:44:01.071+00:00,2026-04-07T05:46:29.997+00:00,os-std-monitor-replan,100
44,completed,0.0,60-0-44-1775540790/trace.json,FALSE_ASSUMPTIONS,2026-04-07T05:45:48.089+00:00,2026-04-07T05:46:30.274+00:00,os-std-monitor-replan,60
40,completed,1.0,105-0-40-1775540794/trace.json,SUCCESS,2026-04-07T05:45:23.865+00:00,2026-04-07T05:46:34.153+00:00,os-std-monitor-replan,105
41,completed,1.0,51-0-41-1775540812/trace.json,SUCCESS,2026-04-07T05:45:25.552+00:00,2026-04-07T05:46:52.517+00:00,os-std-monitor-replan,51
46,completed,1.0,18-0-46-1775540812/trace.json,SUCCESS,2026-04-07T05:46:30.018+00:00,2026-04-07T05:46:52.567+00:00,os-std-monitor-replan,18
48,completed,1.0,63-0-48-1775540813/trace.json,SUCCESS,2026-04-07T05:46:34.180+00:00,2026-04-07T05:46:53.929+00:00,os-std-monitor-replan,63
50,completed,1.0,73-0-50-1775540833/trace.json,SUCCESS,2026-04-07T05:46:52.588+00:00,2026-04-07T05:47:13.142+00:00,os-std-monitor-replan,73
51,completed,0.0,27-0-51-1775540835/trace.json,PLANNING_ERROR,2026-04-07T05:46:53.943+00:00,2026-04-07T05:47:15.036+00:00,os-std-monitor-replan,27
49,completed,1.0,109-0-49-1775540840/trace.json,SUCCESS,2026-04-07T05:46:52.587+00:00,2026-04-07T05:47:20.224+00:00,os-std-monitor-replan,109
45,completed,0.0,85-0-45-1775540840/trace.json,UNDETECTED_CHANGE,2026-04-07T05:46:11.203+00:00,2026-04-07T05:47:20.320+00:00,os-std-monitor-replan,85
47,completed,0.0,62-0-47-1775540856/trace.json,PARTIAL_UNDERSTANDING,2026-04-07T05:46:30.287+00:00,2026-04-07T05:47:36.120+00:00,os-std-monitor-replan,62
55,completed,1.0,122-0-55-1775540860/trace.json,SUCCESS,2026-04-07T05:47:20.763+00:00,2026-04-07T05:47:40.776+00:00,os-std-monitor-replan,122
54,completed,1.0,43-0-54-1775540862/trace.json,SUCCESS,2026-04-07T05:47:20.246+00:00,2026-04-07T05:47:42.417+00:00,os-std-monitor-replan,43
52,completed,0.0,95-0-52-1775540864/trace.json,PLANNING_ERROR,2026-04-07T05:47:13.162+00:00,2026-04-07T05:47:44.748+00:00,os-std-monitor-replan,95
56,completed,0.0,3-0-56-1775540875/trace.json,FALSE_ASSUMPTIONS,2026-04-07T05:47:36.140+00:00,2026-04-07T05:47:55.163+00:00,os-std-monitor-replan,3
58,completed,1.0,114-0-58-1775540887/trace.json,SUCCESS,2026-04-07T05:47:42.432+00:00,2026-04-07T05:48:07.442+00:00,os-std-monitor-replan,114
57,completed,1.0,130-0-57-1775540887/trace.json,SUCCESS,2026-04-07T05:47:40.789+00:00,2026-04-07T05:48:07.610+00:00,os-std-monitor-replan,130
