session_id,status,metric_reward,raw_trace,horizon_bucket,ts_start,ts_end,task,index_value
9,completed,1.0,18-0-9-1772520271/trace.json,SUCCESS,2026-03-03T06:44:23.487+00:00,2026-03-03T06:44:31.492+00:00,os-std,18
8,completed,1.0,122-0-8-1772520272/trace.json,SUCCESS,2026-03-03T06:44:23.488+00:00,2026-03-03T06:44:32.927+00:00,os-std,122
7,completed,0.0,37-0-7-1772520294/trace.json,PLANNING_ERROR,2026-03-03T06:44:23.487+00:00,2026-03-03T06:44:54.246+00:00,os-std,37
10,completed,1.0,3-0-10-1772520307/trace.json,SUCCESS,2026-03-03T06:44:23.488+00:00,2026-03-03T06:45:07.500+00:00,os-std,3
11,completed,1.0,119-0-11-1772520309/trace.json,SUCCESS,2026-03-03T06:44:31.518+00:00,2026-03-03T06:45:09.539+00:00,os-std,119
13,completed,0.0,59-0-13-1772520311/trace.json,ILL_DEFINED_INSTR,2026-03-03T06:44:54.262+00:00,2026-03-03T06:45:11.639+00:00,os-std,59
12,completed,0.0,78-0-12-1772520318/trace.json,ENV_DISTURBANCE,2026-03-03T06:44:32.936+00:00,2026-03-03T06:45:18.736+00:00,os-std,78
16,completed,1.0,96-0-16-1772520319/trace.json,SUCCESS,2026-03-03T06:45:11.662+00:00,2026-03-03T06:45:19.964+00:00,os-std,96
15,completed,1.0,103-0-15-1772520321/trace.json,SUCCESS,2026-03-03T06:45:09.548+00:00,2026-03-03T06:45:21.740+00:00,os-std,103
18,completed,1.0,79-0-18-1772520334/trace.json,SUCCESS,2026-03-03T06:45:19.974+00:00,2026-03-03T06:45:34.037+00:00,os-std,79
17,completed,0.0,139-0-17-1772520337/trace.json,PLANNING_ERROR,2026-03-03T06:45:18.750+00:00,2026-03-03T06:45:37.333+00:00,os-std,139
19,completed,0.0,38-0-19-1772520348/trace.json,PARTIAL_UNDERSTANDING,2026-03-03T06:45:21.749+00:00,2026-03-03T06:45:48.913+00:00,os-std,38
20,completed,1.0,77-0-20-1772520352/trace.json,SUCCESS,2026-03-03T06:45:34.054+00:00,2026-03-03T06:45:52.678+00:00,os-std,77
21,completed,1.0,138-0-21-1772520354/trace.json,SUCCESS,2026-03-03T06:45:37.343+00:00,2026-03-03T06:45:54.914+00:00,os-std,138
22,completed,1.0,126-0-22-1772520359/trace.json,SUCCESS,2026-03-03T06:45:48.975+00:00,2026-03-03T06:45:59.964+00:00,os-std,126
14,completed,0.0,99-0-14-1772520365/trace.json,ENV_DISTURBANCE,2026-03-03T06:45:07.514+00:00,2026-03-03T06:46:05.367+00:00,os-std,99
25,completed,1.0,23-0-25-1772520368/trace.json,SUCCESS,2026-03-03T06:45:59.997+00:00,2026-03-03T06:46:08.199+00:00,os-std,23
27,completed,0.0,29-0-27-1772520380/trace.json,PLANNING_ERROR,2026-03-03T06:46:08.228+00:00,2026-03-03T06:46:20.077+00:00,os-std,29
26,completed,1.0,118-0-26-1772520384/trace.json,SUCCESS,2026-03-03T06:46:05.400+00:00,2026-03-03T06:46:24.069+00:00,os-std,118
28,completed,0.0,72-0-28-1772520388/trace.json,PARTIAL_UNDERSTANDING,2026-03-03T06:46:20.092+00:00,2026-03-03T06:46:28.948+00:00,os-std,72
24,completed,0.0,68-0-24-1772520395/trace.json,ENV_DISTURBANCE,2026-03-03T06:45:54.922+00:00,2026-03-03T06:46:35.006+00:00,os-std,68
23,task error,0.0,89-0-23-1772520395/trace.json,SYSTEM_ERROR,2026-03-03T06:45:52.695+00:00,2026-03-03T06:46:35.633+00:00,os-std,89
31,completed,0.0,19-0-31-1772520402/trace.json,PARTIAL_UNDERSTANDING,2026-03-03T06:46:35.022+00:00,2026-03-03T06:46:42.727+00:00,os-std,19
29,completed,1.0,117-0-29-1772520405/trace.json,SUCCESS,2026-03-03T06:46:24.078+00:00,2026-03-03T06:46:45.509+00:00,os-std,117
30,completed,0.0,88-0-30-1772520407/trace.json,PLANNING_ERROR,2026-03-03T06:46:28.979+00:00,2026-03-03T06:46:47.096+00:00,os-std,88
34,completed,1.0,108-0-34-1772520414/trace.json,SUCCESS,2026-03-03T06:46:45.618+00:00,2026-03-03T06:46:54.637+00:00,os-std,108
33,completed,0.0,125-0-33-1772520415/trace.json,PLANNING_ERROR,2026-03-03T06:46:42.746+00:00,2026-03-03T06:46:55.319+00:00,os-std,125
,server error,,55-0-1772520418/trace.json,SYSTEM_ERROR,2026-03-03T06:46:54.655+00:00,2026-03-03T06:46:58.588+00:00,os-std,55
38,completed,0.0,110-0-38-1772520427/trace.json,PARTIAL_UNDERSTANDING,2026-03-03T06:46:58.622+00:00,2026-03-03T06:47:07.603+00:00,os-std,110
37,completed,0.0,140-0-37-1772520434/trace.json,ILL_DEFINED_INSTR,2026-03-03T06:46:55.341+00:00,2026-03-03T06:47:14.248+00:00,os-std,140
