session_id,status,metric_reward,raw_trace,horizon_bucket,ts_start,ts_end,task,index_value
17,completed,1.0,96-0-17-1777495455/trace.json,SUCCESS,2026-04-29T20:44:08.701+00:00,2026-04-29T20:44:15.854+00:00,os-std-monitor-replan,96
18,completed,1.0,135-0-18-1777495461/trace.json,SUCCESS,2026-04-29T20:44:08.700+00:00,2026-04-29T20:44:21.370+00:00,os-std-monitor-replan,135
19,completed,1.0,33-0-19-1777495463/trace.json,SUCCESS,2026-04-29T20:44:15.929+00:00,2026-04-29T20:44:23.456+00:00,os-std-monitor-replan,33
20,completed,1.0,88-0-20-1777495478/trace.json,SUCCESS,2026-04-29T20:44:21.375+00:00,2026-04-29T20:44:38.165+00:00,os-std-monitor-replan,88
24,completed,1.0,36-0-24-1777495489/trace.json,SUCCESS,2026-04-29T20:44:43.298+00:00,2026-04-29T20:44:49.220+00:00,os-std-monitor-replan,36
27,completed,1.0,129-0-27-1777495495/trace.json,SUCCESS,2026-04-29T20:44:49.225+00:00,2026-04-29T20:44:55.124+00:00,os-std-monitor-replan,129
30,completed,1.0,73-0-30-1777495522/trace.json,SUCCESS,2026-04-29T20:45:08.277+00:00,2026-04-29T20:45:22.790+00:00,os-std-monitor-replan,73
34,completed,1.0,46-0-34-1777495545/trace.json,SUCCESS,2026-04-29T20:45:30.784+00:00,2026-04-29T20:45:45.060+00:00,os-std-monitor-replan,46
36,completed,1.0,59-0-36-1777495548/trace.json,SUCCESS,2026-04-29T20:45:31.846+00:00,2026-04-29T20:45:48.610+00:00,os-std-monitor-replan,59
38,completed,1.0,66-0-38-1777495552/trace.json,SUCCESS,2026-04-29T20:45:45.063+00:00,2026-04-29T20:45:52.259+00:00,os-std-monitor-replan,66
39,completed,1.0,19-0-39-1777495557/trace.json,SUCCESS,2026-04-29T20:45:48.614+00:00,2026-04-29T20:45:57.318+00:00,os-std-monitor-replan,19
40,completed,1.0,42-0-40-1777495558/trace.json,SUCCESS,2026-04-29T20:45:52.264+00:00,2026-04-29T20:45:58.517+00:00,os-std-monitor-replan,42
37,completed,1.0,132-0-37-1777495573/trace.json,SUCCESS,2026-04-29T20:45:39.043+00:00,2026-04-29T20:46:13.151+00:00,os-std-monitor-replan,132
46,completed,1.0,91-0-46-1777495590/trace.json,SUCCESS,2026-04-29T20:46:20.393+00:00,2026-04-29T20:46:30.086+00:00,os-std-monitor-replan,91
48,completed,1.0,123-0-48-1777495611/trace.json,SUCCESS,2026-04-29T20:46:33.539+00:00,2026-04-29T20:46:51.115+00:00,os-std-monitor-replan,123
41,completed,1.0,97-0-41-1777495611/trace.json,SUCCESS,2026-04-29T20:45:57.321+00:00,2026-04-29T20:46:51.143+00:00,os-std-monitor-replan,97
47,completed,1.0,94-0-47-1777495612/trace.json,SUCCESS,2026-04-29T20:46:30.092+00:00,2026-04-29T20:46:52.706+00:00,os-std-monitor-replan,94
50,completed,1.0,14-0-50-1777495624/trace.json,SUCCESS,2026-04-29T20:46:51.147+00:00,2026-04-29T20:47:04.038+00:00,os-std-monitor-replan,14
51,completed,1.0,111-0-51-1777495625/trace.json,SUCCESS,2026-04-29T20:46:52.710+00:00,2026-04-29T20:47:05.863+00:00,os-std-monitor-replan,111
53,completed,1.0,128-0-53-1777495634/trace.json,SUCCESS,2026-04-29T20:47:05.866+00:00,2026-04-29T20:47:14.351+00:00,os-std-monitor-replan,128
55,completed,1.0,142-0-55-1777495654/trace.json,SUCCESS,2026-04-29T20:47:16.652+00:00,2026-04-29T20:47:34.301+00:00,os-std-monitor-replan,142
49,completed,1.0,49-0-49-1777495655/trace.json,SUCCESS,2026-04-29T20:46:51.122+00:00,2026-04-29T20:47:35.804+00:00,os-std-monitor-replan,49
56,completed,1.0,1-0-56-1777495669/trace.json,SUCCESS,2026-04-29T20:47:33.939+00:00,2026-04-29T20:47:49.402+00:00,os-std-monitor-replan,1
