session_id,status,metric_reward,raw_trace,horizon_bucket,ts_start,ts_end,task,index_value
357,completed,1.0,91-0-357-1777499341/trace.json,SUCCESS,2026-04-29T21:46:21.831+00:00,2026-04-29T21:49:01.828+00:00,os-std,91
355,completed,1.0,78-0-355-1777499610/trace.json,SUCCESS,2026-04-29T21:46:21.831+00:00,2026-04-29T21:53:30.281+00:00,os-std,78
364,completed,1.0,66-0-364-1777499739/trace.json,SUCCESS,2026-04-29T21:49:17.418+00:00,2026-04-29T21:55:39.351+00:00,os-std,66
369,completed,1.0,63-0-369-1777499751/trace.json,SUCCESS,2026-04-29T21:54:36.312+00:00,2026-04-29T21:55:51.843+00:00,os-std,63
366,completed,1.0,108-0-366-1777499959/trace.json,SUCCESS,2026-04-29T21:53:30.289+00:00,2026-04-29T21:59:19.676+00:00,os-std,108
616,task limit reached,0.0,132-0-616-1777514790/trace.json,SYSTEM_ERROR,2026-04-30T01:49:25.946+00:00,2026-04-30T02:06:30.519+00:00,os-std,132
577,task limit reached,0.0,53-0-577-1777512432/trace.json,SYSTEM_ERROR,2026-04-30T01:11:43.601+00:00,2026-04-30T01:27:12.613+00:00,os-std,53
385,completed,1.0,92-0-385-1777501077/trace.json,SUCCESS,2026-04-29T22:13:19.843+00:00,2026-04-29T22:17:57.782+00:00,os-std,92
388,completed,1.0,16-0-388-1777501106/trace.json,SUCCESS,2026-04-29T22:16:36.616+00:00,2026-04-29T22:18:26.111+00:00,os-std,16
391,completed,1.0,69-0-391-1777501486/trace.json,SUCCESS,2026-04-29T22:17:38.821+00:00,2026-04-29T22:24:46.078+00:00,os-std,69
396,completed,1.0,103-0-396-1777501578/trace.json,SUCCESS,2026-04-29T22:22:05.168+00:00,2026-04-29T22:26:18.702+00:00,os-std,103
405,completed,1.0,123-0-405-1777502142/trace.json,SUCCESS,2026-04-29T22:29:20.692+00:00,2026-04-29T22:35:42.668+00:00,os-std,123
417,completed,1.0,51-0-417-1777502985/trace.json,SUCCESS,2026-04-29T22:45:15.565+00:00,2026-04-29T22:49:45.401+00:00,os-std,51
421,completed,1.0,30-0-421-1777503045/trace.json,SUCCESS,2026-04-29T22:49:04.079+00:00,2026-04-29T22:50:45.500+00:00,os-std,30
420,completed,1.0,102-0-420-1777503240/trace.json,SUCCESS,2026-04-29T22:48:12.725+00:00,2026-04-29T22:54:00.657+00:00,os-std,102
423,completed,1.0,35-0-423-1777503264/trace.json,SUCCESS,2026-04-29T22:50:45.509+00:00,2026-04-29T22:54:24.758+00:00,os-std,35
509,completed,1.0,49-0-509-1777507563/trace.json,SUCCESS,2026-04-29T23:59:08.223+00:00,2026-04-30T00:06:03.646+00:00,os-std,49
429,completed,1.0,126-0-429-1777503672/trace.json,SUCCESS,2026-04-29T22:58:18.956+00:00,2026-04-29T23:01:12.352+00:00,os-std,126
425,completed,1.0,6-0-425-1777503795/trace.json,SUCCESS,2026-04-29T22:54:00.669+00:00,2026-04-29T23:03:15.581+00:00,os-std,6
434,completed,1.0,13-0-434-1777503868/trace.json,SUCCESS,2026-04-29T23:03:15.587+00:00,2026-04-29T23:04:28.171+00:00,os-std,13
433,completed,1.0,31-0-433-1777503909/trace.json,SUCCESS,2026-04-29T23:02:39.165+00:00,2026-04-29T23:05:09.096+00:00,os-std,31
435,completed,1.0,33-0-435-1777504053/trace.json,SUCCESS,2026-04-29T23:03:15.603+00:00,2026-04-29T23:07:33.698+00:00,os-std,33
436,completed,1.0,76-0-436-1777504316/trace.json,SUCCESS,2026-04-29T23:04:28.185+00:00,2026-04-29T23:11:56.615+00:00,os-std,76
438,completed,1.0,90-0-438-1777504347/trace.json,SUCCESS,2026-04-29T23:07:33.707+00:00,2026-04-29T23:12:27.118+00:00,os-std,90
444,completed,1.0,15-0-444-1777504440/trace.json,SUCCESS,2026-04-29T23:12:19.200+00:00,2026-04-29T23:14:00.757+00:00,os-std,15
445,completed,1.0,119-0-445-1777504442/trace.json,SUCCESS,2026-04-29T23:12:27.122+00:00,2026-04-29T23:14:02.526+00:00,os-std,119
432,completed,1.0,57-0-432-1777504448/trace.json,SUCCESS,2026-04-29T23:01:12.361+00:00,2026-04-29T23:14:08.829+00:00,os-std,57
443,completed,1.0,32-0-443-1777504456/trace.json,SUCCESS,2026-04-29T23:11:56.626+00:00,2026-04-29T23:14:16.041+00:00,os-std,32
457,completed,1.0,14-0-457-1777504936/trace.json,SUCCESS,2026-04-29T23:19:19.360+00:00,2026-04-29T23:22:16.799+00:00,os-std,14
458,completed,1.0,46-0-458-1777504950/trace.json,SUCCESS,2026-04-29T23:20:11.050+00:00,2026-04-29T23:22:30.862+00:00,os-std,46
459,completed,1.0,34-0-459-1777505097/trace.json,SUCCESS,2026-04-29T23:22:16.814+00:00,2026-04-29T23:24:57.690+00:00,os-std,34
451,task limit reached,0.0,64-0-451-1777505382/trace.json,SYSTEM_ERROR,2026-04-29T23:14:16.045+00:00,2026-04-29T23:29:42.595+00:00,os-std,64
,server error,,55-0-1777510975/trace.json,SYSTEM_ERROR,2026-04-30T01:02:55.307+00:00,2026-04-30T01:02:55.561+00:00,os-std,55
467,completed,1.0,96-0-467-1777505552/trace.json,SUCCESS,2026-04-29T23:29:42.676+00:00,2026-04-29T23:32:32.053+00:00,os-std,96
468,completed,1.0,109-0-468-1777505626/trace.json,SUCCESS,2026-04-29T23:29:42.877+00:00,2026-04-29T23:33:46.709+00:00,os-std,109
473,completed,1.0,77-0-473-1777505870/trace.json,SUCCESS,2026-04-29T23:32:32.064+00:00,2026-04-29T23:37:50.477+00:00,os-std,77
474,completed,1.0,135-0-474-1777505908/trace.json,SUCCESS,2026-04-29T23:33:46.721+00:00,2026-04-29T23:38:28.786+00:00,os-std,135
482,completed,1.0,44-0-482-1777506046/trace.json,SUCCESS,2026-04-29T23:37:50.485+00:00,2026-04-29T23:40:46.991+00:00,os-std,44
464,task limit reached,0.0,80-0-464-1777506061/trace.json,SYSTEM_ERROR,2026-04-29T23:26:42.130+00:00,2026-04-29T23:41:01.110+00:00,os-std,80
463,task limit reached,0.0,52-0-463-1777506182/trace.json,SYSTEM_ERROR,2026-04-29T23:24:57.698+00:00,2026-04-29T23:43:02.304+00:00,os-std,52
488,completed,1.0,130-0-488-1777506266/trace.json,SUCCESS,2026-04-29T23:41:01.115+00:00,2026-04-29T23:44:26.619+00:00,os-std,130
491,completed,1.0,118-0-491-1777506408/trace.json,SUCCESS,2026-04-29T23:43:02.322+00:00,2026-04-29T23:46:48.814+00:00,os-std,118
496,completed,1.0,42-0-496-1777506511/trace.json,SUCCESS,2026-04-29T23:46:48.827+00:00,2026-04-29T23:48:31.278+00:00,os-std,42
483,completed,1.0,83-0-483-1777506571/trace.json,SUCCESS,2026-04-29T23:38:28.792+00:00,2026-04-29T23:49:31.777+00:00,os-std,83
499,completed,1.0,129-0-499-1777506777/trace.json,SUCCESS,2026-04-29T23:49:31.784+00:00,2026-04-29T23:52:57.648+00:00,os-std,129
487,completed,1.0,37-0-487-1777506802/trace.json,SUCCESS,2026-04-29T23:40:46.999+00:00,2026-04-29T23:53:22.001+00:00,os-std,37
515,completed,1.0,50-0-515-1777507903/trace.json,SUCCESS,2026-04-30T00:06:03.664+00:00,2026-04-30T00:11:43.487+00:00,os-std,50
517,completed,1.0,39-0-517-1777508294/trace.json,SUCCESS,2026-04-30T00:07:30.118+00:00,2026-04-30T00:18:14.094+00:00,os-std,39
531,completed,1.0,124-0-531-1777508633/trace.json,SUCCESS,2026-04-30T00:19:03.634+00:00,2026-04-30T00:23:53.888+00:00,os-std,124
521,task limit reached,0.0,94-0-521-1777508802/trace.json,SYSTEM_ERROR,2026-04-30T00:10:41.532+00:00,2026-04-30T00:26:42.225+00:00,os-std,94
528,completed,1.0,104-0-528-1777508802/trace.json,SUCCESS,2026-04-30T00:18:14.104+00:00,2026-04-30T00:26:42.312+00:00,os-std,104
522,completed,1.0,121-0-522-1777508863/trace.json,SUCCESS,2026-04-30T00:11:43.503+00:00,2026-04-30T00:27:43.189+00:00,os-std,121
534,task limit reached,0.0,60-0-534-1777509703/trace.json,SYSTEM_ERROR,2026-04-30T00:23:53.901+00:00,2026-04-30T00:41:43.886+00:00,os-std,60
538,server error,,56-0-538-1777509847/trace.json,SYSTEM_ERROR,2026-04-30T00:27:43.199+00:00,2026-04-30T00:44:07.220+00:00,os-std,56
549,completed,1.0,111-0-549-1777510029/trace.json,SUCCESS,2026-04-30T00:44:07.230+00:00,2026-04-30T00:47:09.088+00:00,os-std,111
548,completed,1.0,122-0-548-1777510038/trace.json,SUCCESS,2026-04-30T00:43:53.115+00:00,2026-04-30T00:47:18.327+00:00,os-std,122
550,completed,1.0,73-0-550-1777510050/trace.json,SUCCESS,2026-04-30T00:44:07.433+00:00,2026-04-30T00:47:30.308+00:00,os-std,73
536,workflow error,,70-0-536-1777510215/trace.json,SYSTEM_ERROR,2026-04-30T00:26:42.314+00:00,2026-04-30T00:50:15.343+00:00,os-std,70
554,completed,1.0,86-0-554-1777510262/trace.json,SUCCESS,2026-04-30T00:47:18.331+00:00,2026-04-30T00:51:02.238+00:00,os-std,86
561,completed,1.0,79-0-561-1777510657/trace.json,SUCCESS,2026-04-30T00:51:02.241+00:00,2026-04-30T00:57:37.737+00:00,os-std,79
560,completed,1.0,18-0-560-1777510699/trace.json,SUCCESS,2026-04-30T00:51:02.214+00:00,2026-04-30T00:58:19.491+00:00,os-std,18
559,completed,1.0,127-0-559-1777510786/trace.json,SUCCESS,2026-04-30T00:50:45.384+00:00,2026-04-30T00:59:46.830+00:00,os-std,127
564,completed,1.0,9-0-564-1777510798/trace.json,SUCCESS,2026-04-30T00:57:22.187+00:00,2026-04-30T00:59:58.445+00:00,os-std,9
569,completed,1.0,43-0-569-1777511119/trace.json,SUCCESS,2026-04-30T01:01:46.564+00:00,2026-04-30T01:05:19.982+00:00,os-std,43
573,completed,1.0,2-0-573-1777511604/trace.json,SUCCESS,2026-04-30T01:05:19.991+00:00,2026-04-30T01:13:24.942+00:00,os-std,2
580,server error,,99-0-580-1777512613/trace.json,SYSTEM_ERROR,2026-04-30T01:13:24.947+00:00,2026-04-30T01:30:13.516+00:00,os-std,99
592,completed,1.0,141-0-592-1777512735/trace.json,SUCCESS,2026-04-30T01:27:12.622+00:00,2026-04-30T01:32:15.525+00:00,os-std,141
593,completed,1.0,27-0-593-1777512761/trace.json,SUCCESS,2026-04-30T01:30:13.534+00:00,2026-04-30T01:32:41.305+00:00,os-std,27
597,completed,1.0,19-0-597-1777512959/trace.json,SUCCESS,2026-04-30T01:32:15.576+00:00,2026-04-30T01:35:59.942+00:00,os-std,19
596,completed,1.0,10-0-596-1777513015/trace.json,SUCCESS,2026-04-30T01:32:15.537+00:00,2026-04-30T01:36:55.038+00:00,os-std,10
603,completed,1.0,36-0-603-1777513354/trace.json,SUCCESS,2026-04-30T01:36:55.050+00:00,2026-04-30T01:42:34.200+00:00,os-std,36
602,completed,1.0,117-0-602-1777513378/trace.json,SUCCESS,2026-04-30T01:35:59.953+00:00,2026-04-30T01:42:58.491+00:00,os-std,117
606,completed,1.0,11-0-606-1777513467/trace.json,SUCCESS,2026-04-30T01:37:51.353+00:00,2026-04-30T01:44:27.022+00:00,os-std,11
609,completed,1.0,114-0-609-1777513700/trace.json,SUCCESS,2026-04-30T01:42:34.211+00:00,2026-04-30T01:48:20.827+00:00,os-std,114
