index,tier,success,metric_success_rate,metric_score,metric_reward,status,raw_trace,source
0,cf0,0,0.0,0.0,0.0,completed,0-0-42-1777804174/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
1,cf0,0,0.0,0.0,0.0,completed,1-0-53-1777804349/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
2,cf0,0,0.0,0.0,0.0,completed,2-0-151-1777805930/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
3,cf0,1,1.0,1.0,1.0,completed,3-0-76-1777804559/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
4,cf0,1,1.0,1.0,1.0,completed,4-0-30-1777803997/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
5,cf0,1,1.0,1.0,1.0,completed,5-0-73-1777804542/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
6,cf0,1,1.0,1.0,1.0,completed,6-0-69-1777804533/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
7,cf0,1,1.0,1.0,1.0,completed,7-0-94-1777804832/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
8,cf0,1,1.0,1.0,1.0,completed,8-0-96-1777804862/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
9,cf0,0,0.0,0.0,0.0,completed,9-0-143-1777805739/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
10,cf0,1,1.0,1.0,1.0,completed,10-0-55-1777804372/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
11,cf0,1,1.0,1.0,1.0,completed,11-0-57-1777804399/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
12,cf0,0,0.0,0.0,0.0,completed,12-0-137-1777805594/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
13,cf0,1,1.0,1.0,1.0,completed,13-0-63-1777804431/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
14,cf0,1,1.0,1.0,1.0,completed,14-0-95-1777804850/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
15,cf0,0,0.0,0.0,0.0,completed,15-0-119-1777805206/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
16,cf0,1,1.0,1.0,1.0,completed,16-0-27-1777803967/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
17,cf0,1,1.0,1.0,1.0,completed,17-0-156-1777805949/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
18,cf0,1,1.0,1.0,1.0,completed,18-0-149-1777805810/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
19,cf0,1,1.0,1.0,1.0,completed,19-0-87-1777804760/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
20,cf0,1,1.0,1.0,1.0,completed,20-0-25-1777803978/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
21,cf0,1,1.0,1.0,1.0,completed,21-0-98-1777804886/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
22,cf0,0,0.0,0.0,0.0,completed,22-0-19-1777803896/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
23,cf0,1,1.0,1.0,1.0,completed,23-0-114-1777805063/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
24,cf0,1,1.0,1.0,1.0,completed,24-0-102-1777804920/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
25,cf0,0,0.0,0.0,0.0,completed,25-0-111-1777805039/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
26,cf0,0,0.0,0.0,0.0,completed,26-0-65-1777804446/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
27,cf0,1,1.0,1.0,1.0,completed,27-0-36-1777804149/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
28,cf0,0,0.0,0.0,0.0,completed,28-0-60-1777804432/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
29,cf0,1,1.0,1.0,1.0,completed,29-0-86-1777804733/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
30,cf0,1,1.0,1.0,1.0,completed,30-0-93-1777804804/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
31,cf0,0,0.0,0.0,0.0,completed,31-0-152-1777805851/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
32,cf0,1,1.0,1.0,1.0,completed,32-0-91-1777804813/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
33,cf0,1,1.0,1.0,1.0,completed,33-0-112-1777805034/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
34,cf0,1,1.0,1.0,1.0,completed,34-0-108-1777804980/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
35,cf0,1,1.0,1.0,1.0,completed,35-0-24-1777803952/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
36,cf0,1,1.0,1.0,1.0,completed,36-0-48-1777804287/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
37,cf0,1,1.0,1.0,1.0,completed,37-0-68-1777804500/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
38,cf0,1,1.0,1.0,1.0,completed,38-0-134-1777805530/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
39,cf0,1,1.0,1.0,1.0,completed,39-0-115-1777805075/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
40,cf0,0,0.0,0.0,0.0,completed,40-0-142-1777805679/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
41,cf0,1,1.0,1.0,1.0,completed,41-0-72-1777804523/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
42,cf0,1,1.0,1.0,1.0,completed,42-0-101-1777804902/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
43,cf0,0,0.0,0.0,0.0,completed,43-0-61-1777804417/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
44,cf0,1,1.0,1.0,1.0,completed,44-0-37-1777804090/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
45,cf0,0,0.0,0.0,0.0,completed,45-0-51-1777804312/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
46,cf1,0,0.0,0.0,0.0,completed,46-0-129-1777805443/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
47,cf1,1,1.0,1.0,1.0,completed,47-0-49-1777804288/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
48,cf1,1,1.0,1.0,1.0,completed,48-0-17-1777803868/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
49,cf1,0,0.0,0.0,0.0,completed,49-0-113-1777805070/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
50,cf1,1,1.0,1.0,1.0,completed,50-0-88-1777804773/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
51,cf1,1,1.0,1.0,1.0,completed,51-0-31-1777804030/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
52,cf1,1,1.0,1.0,1.0,completed,52-0-103-1777804938/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
53,cf1,0,0.0,0.0,0.0,completed,53-0-97-1777804872/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
54,cf1,1,1.0,1.0,1.0,completed,54-0-157-1777805990/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
55,cf1,1,1.0,1.0,1.0,completed,55-0-133-1777805511/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
56,cf2,0,0.0,0.0,0.0,completed,56-0-100-1777804949/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
57,cf2,0,0.0,0.0,0.0,completed,57-0-84-1777804729/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
58,cf2,1,1.0,1.0,1.0,completed,58-0-131-1777805537/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
59,cf2,0,0.0,0.0,0.0,completed,59-0-74-1777804587/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
60,cf2,1,1.0,1.0,1.0,completed,60-0-15-1777803842/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
61,cf2,1,1.0,1.0,1.0,completed,61-0-122-1777805293/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
62,cf2,0,0.0,0.0,0.0,completed,62-0-104-1777805000/trace.json,results/horizon_baseline/gpt-5-mini-os-horizon-all-202605030523/results.jsonl
